userId	geneSymbol	geneName	entrezgene	gLink
ENSMUSG00000000275	Trim25	tripartite motif-containing 25	217069	https://www.ncbi.nlm.nih.gov/gene/?term=217069
ENSMUSG00000000567	Sox9	SRY (sex determining region Y)-box 9	20682	https://www.ncbi.nlm.nih.gov/gene/?term=20682
ENSMUSG00000000708	Kat2b	K(lysine) acetyltransferase 2B	18519	https://www.ncbi.nlm.nih.gov/gene/?term=18519
ENSMUSG00000001911	Nfix	nuclear factor I/X	18032	https://www.ncbi.nlm.nih.gov/gene/?term=18032
ENSMUSG00000002602	Axl	AXL receptor tyrosine kinase	26362	https://www.ncbi.nlm.nih.gov/gene/?term=26362
ENSMUSG00000002949	Timm44	translocase of inner mitochondrial membrane 44	21856	https://www.ncbi.nlm.nih.gov/gene/?term=21856
ENSMUSG00000003233	Dvl3	dishevelled segment polarity protein 3	13544	https://www.ncbi.nlm.nih.gov/gene/?term=13544
ENSMUSG00000004677	Myo9b	myosin IXb	17925	https://www.ncbi.nlm.nih.gov/gene/?term=17925
ENSMUSG00000005907	Pex1	peroxisomal biogenesis factor 1	71382	https://www.ncbi.nlm.nih.gov/gene/?term=71382
ENSMUSG00000008090	Fgfrl1	fibroblast growth factor receptor-like 1	116701	https://www.ncbi.nlm.nih.gov/gene/?term=116701
ENSMUSG00000013523	Bcas1	breast carcinoma amplified sequence 1	76960	https://www.ncbi.nlm.nih.gov/gene/?term=76960
ENSMUSG00000014599	Csf1	colony stimulating factor 1 (macrophage)	12977	https://www.ncbi.nlm.nih.gov/gene/?term=12977
ENSMUSG00000015305	Sash1	SAM and SH3 domain containing 1	70097	https://www.ncbi.nlm.nih.gov/gene/?term=70097
ENSMUSG00000015709	Arnt2	aryl hydrocarbon receptor nuclear translocator 2	11864	https://www.ncbi.nlm.nih.gov/gene/?term=11864
ENSMUSG00000016128	Stard13	StAR-related lipid transfer (START) domain containing 13	243362	https://www.ncbi.nlm.nih.gov/gene/?term=243362
ENSMUSG00000016346	Kcnq2	potassium voltage-gated channel, subfamily Q, member 2	16536	https://www.ncbi.nlm.nih.gov/gene/?term=16536
ENSMUSG00000017747	Ghdc	GH3 domain containing	80860	https://www.ncbi.nlm.nih.gov/gene/?term=80860
ENSMUSG00000017774	Myo1c	myosin IC	17913	https://www.ncbi.nlm.nih.gov/gene/?term=17913
ENSMUSG00000018217	Pmp22	peripheral myelin protein 22	18858	https://www.ncbi.nlm.nih.gov/gene/?term=18858
ENSMUSG00000018341	Il12rb2	interleukin 12 receptor, beta 2	16162	https://www.ncbi.nlm.nih.gov/gene/?term=16162
ENSMUSG00000018707	Dync1h1	dynein cytoplasmic 1 heavy chain 1	13424	https://www.ncbi.nlm.nih.gov/gene/?term=13424
ENSMUSG00000018909	Arrb1	arrestin, beta 1	109689	https://www.ncbi.nlm.nih.gov/gene/?term=109689
