geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
GO:0038063	collagen-activated tyrosine kinase receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0038063	11	3	0.03315916398713826	90.47272727272728	4.223678715886692e-6	0.023139783436069004	12826;12827;72828	geneontology_Biological_Process	ENSMUSG00000031502;ENSMUSG00000031503;ENSMUSG00000032020
mmu04512	ECM-receptor interaction	http://www.kegg.jp/kegg-bin/show_pathway?mmu04512+12826+12827+16419+16779+192897	83	5	0.25020096463022506	19.983935742971887	5.091917337884944e-6	0.023139783436069004	12826;12827;16419;16779;192897	pathway_KEGG	ENSMUSG00000022817;ENSMUSG00000031502;ENSMUSG00000031503;ENSMUSG00000052911;ENSMUSG00000020758
GO:0038065	collagen-activated signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0038065	13	3	0.03918810289389067	76.55384615384617	7.289651402730968e-6	0.023139783436069004	12826;12827;72828	geneontology_Biological_Process	ENSMUSG00000031502;ENSMUSG00000031503;ENSMUSG00000032020
mmu05165	Human papillomavirus infection	http://www.kegg.jp/kegg-bin/show_pathway?mmu05165+105782+12445+12826+12827+16419+16779+192897+54721	370	8	1.115353697749196	7.172612612612613	1.4554792333476563e-5	0.03465132184792433	105782;12445;12826;12827;16419;16779;192897;54721	pathway_KEGG	ENSMUSG00000022817;ENSMUSG00000031502;ENSMUSG00000031503;ENSMUSG00000032175;ENSMUSG00000052911;ENSMUSG00000020758;ENSMUSG00000022568;ENSMUSG00000034165
WP85	Focal Adhesion	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP85&label[]=Itgb5&label[]=Col4a1&label[]=Col4a2&label[]=Lamb2&label[]=Itgb4&label[]=Ccnd3&colors=steelblue	185	6	0.557676848874598	10.758918918918921	1.9621511772371925e-5	0.03737113132165957	12445;12826;12827;192897;16419;16779	pathway_Wikipathway	ENSMUSG00000022817;ENSMUSG00000031502;ENSMUSG00000031503;ENSMUSG00000052911;ENSMUSG00000020758;ENSMUSG00000034165
mmu04510	Focal adhesion	http://www.kegg.jp/kegg-bin/show_pathway?mmu04510+12445+12826+12827+16419+16779+192897	199	6	0.5998794212218649	10.002010050251258	2.95941488885898e-5	0.04697084664434011	12445;12826;12827;16419;16779;192897	pathway_KEGG	ENSMUSG00000022817;ENSMUSG00000031502;ENSMUSG00000031503;ENSMUSG00000052911;ENSMUSG00000020758;ENSMUSG00000034165
GO:0007167	enzyme linked receptor protein signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0007167	827	10	2.492966237942122	4.011285771866183	1.6610764619795493e-4	0.22597758782044639	11815;12445;12826;12827;13845;16419;17131;22041;72828;74048	geneontology_Biological_Process	ENSMUSG00000005958;ENSMUSG00000020101;ENSMUSG00000022548;ENSMUSG00000022817;ENSMUSG00000025880;ENSMUSG00000031502;ENSMUSG00000031503;ENSMUSG00000032554;ENSMUSG00000032020;ENSMUSG00000034165
GO:0042063	gliogenesis	http://amigo.geneontology.org/amigo/term/GO:0042063	301	6	0.9073553054662379	6.612624584717609	2.869443880733069e-4	0.335791461613034	12799;16779;22041;105782;171469;192897	geneontology_Biological_Process	ENSMUSG00000026424;ENSMUSG00000006782;ENSMUSG00000032554;ENSMUSG00000052911;ENSMUSG00000020758;ENSMUSG00000022568
GO:0002725	negative regulation of T cell cytokine production	http://amigo.geneontology.org/amigo/term/GO:0002725	9	2	0.02713022508038585	73.71851851851852	3.173499059663243e-4	0.335791461613034	17131;74048	geneontology_Biological_Process	ENSMUSG00000020101;ENSMUSG00000025880
GO:1901339	regulation of store-operated calcium channel activity	http://amigo.geneontology.org/amigo/term/GO:1901339	11	2	0.03315916398713826	60.31515151515153	4.829609244754174e-4	0.45992368837793995	53357;69179	geneontology_Biological_Process	ENSMUSG00000006526;ENSMUSG00000042632
